omitted_q,status,wall_limit_seconds,seed,variables,clauses,cnf_sha256,solver_output_sha256
56,UNKNOWN,30,13057,1820,48928,da37a1b5bb1f68d6daf712e68657421407a22fa282fdf6c1d59da12ffb3e061a,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
57,UNKNOWN,30,13058,1820,48928,0461abafec28cd872f45bb68cf83c44069248840225ecc2b3205a5df0e9c42e1,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
58,UNKNOWN,30,13059,1820,48928,a8d2793084c0004917d4d365547e7f30333341b4ea2afb078a6ede052bde77c9,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
59,UNKNOWN,30,13060,1820,48928,e66b785e5a1e99eee729bbe32b8efa31990ebc6ad6e42c44e13e9a0491b221a2,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
60,UNKNOWN,30,13061,1820,48928,c869e8c9a561e97599a3cf04b36098b072f7d7d56b7662f1b1a0307962d7069f,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
61,UNKNOWN,30,13062,1820,48928,b4f8483e9247e51c7e21ca709816c060a773cb5b8195e6d0982a97eb307c9024,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
62,UNKNOWN,30,13063,1820,48928,6b2c495ba92b02d0733c2acf92f3cfd5a776cbaf037eb63448a1ed8991229a41,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
65,UNKNOWN,30,13066,1820,48928,e5aca5c909e94feba5a5b15b6a1698d857dd67402fa1ebc84d8cc8dbd9882f9f,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
66,UNKNOWN,30,13067,1820,48928,124241c9ae834a4a03db5e2df94f4a45b8c1b97eb6851e27d412148e338422c5,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
67,UNKNOWN,30,13068,1820,48928,61b075ebe430417151b798c02502252f04318e8ff8ca46446304a8fd0e828f55,8fba55cea0f98be36fab7b65349dda867a58aabfcf974a46098f5123830ac5cb
