CANDIDATE UNSAT [4474,66139,27916,86122,105732,6683,64513,44165,70195,52372,120964]
CANDIDATE UNSAT [4474,66139,27916,86122,105732,6683,64513,44165,70195,52372,120964]
CANDIDATE UNSAT [4474,66139,27916,86122,105732,6683,64513,44165,70195,52372,120964]
CANDIDATE UNSAT [4474,66139,27916,86122,105732,6683,64513,44165,70195,52372,120964]
CANDIDATE UNSAT [4970,66139,27916,86122,105732,6683,64513,44165,70195,52868,120964]
CANDIDATE UNSAT [4970,66139,27916,86122,105732,6683,64513,44228,70258,52868,120964]
CANDIDATE UNSAT [4970,66139,28036,86122,105732,6683,64513,44108,70258,52868,120964]
CANDIDATE UNSAT [4970,66139,28036,86122,40204,6683,64513,44108,4730,52868,120964]
CANDIDATE UNSAT [4970,66139,28036,86122,40204,6683,64513,44108,4730,52868,120964]
CANDIDATE UNSAT [4970,66139,28036,86122,40204,6683,64513,44108,4730,52868,120964]
CANDIDATE UNSAT [4970,66139,28036,86122,40204,6683,64513,44108,4730,52868,120964]
CANDIDATE UNSAT [4970,66139,28036,86122,40204,6683,64513,44108,4730,52868,120964]
CANDIDATE UNSAT [4970,66139,28036,86122,39949,6683,64768,44108,4730,52868,120964]
CANDIDATE UNSAT [4970,2651,28036,86122,39949,70171,64768,44108,4730,52868,120964]
CANDIDATE UNSAT [4970,2651,28036,86122,39949,70171,64768,44108,4730,52868,120964]
CANDIDATE UNSAT [4715,2651,28036,86122,39949,70171,64513,44108,4730,52868,120964]
CANDIDATE UNSAT [4715,2651,28036,86122,40012,70171,64513,44045,4730,52868,120964]
CANDIDATE UNSAT [4715,2651,28036,86122,40012,70171,64513,44045,4730,52868,120964]
CANDIDATE UNSAT [4715,2651,28036,86370,40012,70171,64513,44293,4730,52868,120964]
CANDIDATE UNSAT [4715,2651,28036,70114,40012,70171,48257,44293,4730,52868,120964]
CANDIDATE UNSAT [4715,2651,28036,70114,40012,70171,48257,44293,4730,52868,120964]
CANDIDATE UNSAT [4715,2651,27844,70114,40012,70171,48257,44293,4922,52868,120964]
CANDIDATE UNSAT [4715,2651,27844,70114,40012,70171,48257,44293,4922,52868,120964]
CANDIDATE UNSAT [4715,2651,27844,70114,40012,70171,48257,44293,12602,60548,120964]
CANDIDATE UNSAT [4715,2651,27844,70114,40012,70171,48257,44293,12602,60548,120964]
