c0,c1,c2,c3,L_lo,L_up,kernel_upper,d_lower,D_up,exact_realized,G28,margin_lo,margin_up,margin_final
0,17,5,9,4416571,4416571,2,2193512,2193512,1,4387039,-29532,-29532,-29532
0,17,7,7,4421131,4421131,2,2195888,2195888,1,4391792,-29339,-29339,-29339
0,17,9,5,4416571,4416571,2,2193512,2193512,1,4387039,-29532,-29532,-29532
0,17,11,3,4434507,4434507,2,2198656,2202480,1,4404973,-29534,-29534,-29534
0,17,13,1,4276923,4276923,2,2119864,2123688,1,4247391,-29532,-29532,-29532
0,19,1,11,4277451,4277451,2,2120128,2123744,1,4247501,-29950,-29950,-29950
0,19,3,9,4434315,4434315,2,2202176,2202176,1,4404366,-29949,-29949,-29949
0,19,5,7,4417899,4417899,2,2193968,2193968,1,4387950,-29949,-29949,-29949
0,19,7,5,4417899,4417899,2,2193968,2193968,1,4387950,-29949,-29949,-29949
0,19,9,3,4434315,4434315,2,2202176,2202176,1,4404366,-29949,-29949,-29949
0,19,11,1,4277451,4277451,2,2120128,2123744,1,4247501,-29950,-29950,-29950
0,21,1,9,4276539,4276539,2,2123288,2123288,1,4246593,-29946,-29946,-29946
0,21,3,7,4434923,4434923,2,2202480,2202480,1,4404973,-29950,-29950,-29950
0,21,5,5,4413947,4413947,2,2191992,2191992,1,4383998,-29949,-29949,-29949
0,21,7,3,4434923,4434923,2,2202480,2202480,1,4404973,-29950,-29950,-29950
0,21,9,1,4276539,4276539,2,2123288,2123288,1,4246593,-29946,-29946,-29946
0,23,1,7,4278667,4278667,2,2118576,2118576,1,4237167,-41500,-41500,-41500
0,23,3,5,4432491,4432491,2,2195488,2195488,1,4390994,-41497,-41497,-41497
0,23,5,3,4432491,4432491,2,2195488,2195488,1,4390994,-41497,-41497,-41497
0,23,7,1,4278667,4278667,2,2118576,2118576,1,4237167,-41500,-41500,-41500
0,25,1,5,4271675,4271675,2,2115080,2115080,1,4230179,-41496,-41496,-41496
0,25,3,3,4446475,4446475,2,2202480,2202480,1,4404973,-41502,-41502,-41502
0,25,5,1,4271675,4271675,2,2115080,2115080,1,4230179,-41496,-41496,-41496
0,27,1,3,4306635,4306635,2,2132560,2132560,1,4265137,-41498,-41498,-41498
0,27,3,1,4306635,4306635,2,2132560,2132560,1,4265137,-41498,-41498,-41498
0,29,1,1,3991995,3991995,2,1975240,1975240,1,3950494,-41501,-41501,-41501
1,0,2,28,4149315,4149315,2,2045160,2045160,1,4090332,-58983,-58983,-58983
1,0,4,26,4289155,4289155,2,2115080,2115080,1,4230179,-58976,-58976,-58976
1,0,6,24,4275171,4275171,2,2108088,2108088,1,4216192,-58979,-58979,-58979
1,0,8,22,4277603,4277603,2,2123192,2123288,1,4246593,-31010,-31010,-31010
1,0,10,20,4276995,4276995,2,2122888,2122984,1,4245984,-31011,-31011,-31011
1,0,12,18,4277187,4277187,2,2116040,2123688,1,4247391,-29796,-29796,-29796
1,0,14,16,4276643,4284835,2,2115768,2127512,0,4255039,-21604,-29796,-29795
1,0,16,14,4276643,4284835,2,2115768,2127512,0,4255039,-21604,-29796,-29795
1,0,18,12,4277187,4277187,2,2116040,2123688,1,4247391,-29796,-29796,-29796
1,0,20,10,4276995,4276995,2,2122888,2122984,1,4245984,-31011,-31011,-31011
1,0,22,8,4277603,4277603,2,2123192,2123288,1,4246593,-31010,-31010,-31010
1,0,24,6,4275171,4275171,2,2108088,2108088,1,4216192,-58979,-58979,-58979
1,0,26,4,4289155,4289155,2,2115080,2115080,1,4230179,-58976,-58976,-58976
1,0,28,2,4149315,4149315,2,2045160,2045160,1,4090332,-58983,-58983,-58983
1,2,0,28,4149315,4149315,2,2045160,2045160,1,4090332,-58983,-58983,-58983
1,2,2,26,4463955,4463955,2,2202480,2202480,1,4404973,-58982,-58982,-58982
1,2,4,24,4428995,4428995,2,2185000,2185000,1,4370015,-58980,-58980,-58980
1,2,6,22,4435987,4435987,2,2195488,2195488,1,4390994,-44993,-44993,-44993
1,2,8,20,4433859,4433859,2,2201320,2201416,1,4402847,-31012,-31012,-31012
1,2,10,18,4434771,4434771,2,2198656,2202176,1,4404366,-30405,-30405,-30405
1,2,12,16,4434243,4434243,2,2194568,2202216,1,4404447,-29796,-29796,-29796
1,2,14,14,4433683,4450067,2,2194288,2210392,0,4420798,-12885,-29269,-29268
1,2,16,12,4434243,4434243,2,2194568,2202216,1,4404447,-29796,-29796,-29796
1,2,18,10,4434771,4434771,2,2198656,2202176,1,4404366,-30405,-30405,-30405
1,2,20,8,4433859,4433859,2,2201320,2201416,1,4402847,-31012,-31012,-31012
1,2,22,6,4435987,4435987,2,2195488,2195488,1,4390994,-44993,-44993,-44993
1,2,24,4,4428995,4428995,2,2185000,2185000,1,4370015,-58980,-58980,-58980
1,2,26,2,4463955,4463955,2,2202480,2202480,1,4404973,-58982,-58982,-58982
1,2,28,0,4149315,4149315,2,2045160,2045160,1,4090332,-58983,-58983,-58983
1,4,0,26,4289155,4289155,2,2115080,2115080,1,4230179,-58976,-58976,-58976
1,4,2,24,4428995,4428995,2,2185000,2185000,1,4370015,-58980,-58980,-58980
1,4,4,22,4415011,4415011,2,2185000,2185000,1,4370015,-44996,-44996,-44996
1,4,6,20,4417443,4417443,2,2193112,2193208,1,4386429,-31014,-31014,-31014
1,4,8,18,4416835,4416835,2,2192808,2193208,1,4386429,-30406,-30406,-30406
1,4,10,16,4417027,4417027,2,2189784,2193608,1,4387231,-29796,-29796,-29796
1,4,12,14,4416483,4424675,2,2185688,2197696,0,4395407,-21076,-29268,-29268
1,4,14,12,4416483,4424675,2,2185688,2197696,0,4395407,-21076,-29268,-29268
1,4,16,10,4417027,4417027,2,2189784,2193608,1,4387231,-29796,-29796,-29796
1,4,18,8,4416835,4416835,2,2192808,2193208,1,4386429,-30406,-30406,-30406
1,4,20,6,4417443,4417443,2,2193112,2193208,1,4386429,-31014,-31014,-31014
1,4,22,4,4415011,4415011,2,2185000,2185000,1,4370015,-44996,-44996,-44996
1,4,24,2,4428995,4428995,2,2185000,2185000,1,4370015,-58980,-58980,-58980
1,4,26,0,4289155,4289155,2,2115080,2115080,1,4230179,-58976,-58976,-58976
1,6,0,24,4275171,4275171,2,2108088,2108088,1,4216192,-58979,-58979,-58979
1,6,2,22,4435987,4435987,2,2195488,2195488,1,4390994,-44993,-44993,-44993
1,6,4,20,4417443,4417443,2,2193112,2193208,1,4386429,-31014,-31014,-31014
1,6,6,18,4421395,4421395,2,2195088,2195488,1,4390994,-30401,-30401,-30401
1,6,8,16,4420067,4420067,2,2194424,2195128,1,4390268,-29799,-29799,-29799
1,6,10,14,4420243,4428435,2,2191392,2199576,0,4399170,-21073,-29265,-29264
1,6,12,12,4420259,4420259,2,2187576,2195488,1,4390994,-29265,-29265,-29265
1,6,14,10,4420243,4428435,2,2191392,2199576,0,4399170,-21073,-29265,-29264
1,6,16,8,4420067,4420067,2,2194424,2195128,1,4390268,-29799,-29799,-29799
1,6,18,6,4421395,4421395,2,2195088,2195488,1,4390994,-30401,-30401,-30401
1,6,20,4,4417443,4417443,2,2193112,2193208,1,4386429,-31014,-31014,-31014
1,6,22,2,4435987,4435987,2,2195488,2195488,1,4390994,-44993,-44993,-44993
1,6,24,0,4275171,4275171,2,2108088,2108088,1,4216192,-58979,-58979,-58979
1,8,0,22,4277603,4277603,2,2123192,2123288,1,4246593,-31010,-31010,-31010
1,8,2,20,4433859,4433859,2,2201320,2201416,1,4402847,-31012,-31012,-31012
1,8,4,18,4416835,4416835,2,2192808,2193208,1,4386429,-30406,-30406,-30406
1,8,6,16,4420067,4420067,2,2194424,2195128,1,4390268,-29799,-29799,-29799
1,8,8,14,4418723,4426915,2,2193752,2205512,0,4411039,-7684,-15876,-15876
1,8,10,12,4419459,4419459,2,2194120,2201816,1,4403647,-15812,-15812,-15812
1,8,12,10,4419459,4419459,2,2194120,2201816,1,4403647,-15812,-15812,-15812
1,8,14,8,4418723,4426915,2,2193752,2205512,0,4411039,-7684,-15876,-15876
1,8,16,6,4420067,4420067,2,2194424,2195128,1,4390268,-29799,-29799,-29799
1,8,18,4,4416835,4416835,2,2192808,2193208,1,4386429,-30406,-30406,-30406
1,8,20,2,4433859,4433859,2,2201320,2201416,1,4402847,-31012,-31012,-31012
1,8,22,0,4277603,4277603,2,2123192,2123288,1,4246593,-31010,-31010,-31010
1,10,0,20,4276995,4276995,2,2122888,2122984,1,4245984,-31011,-31011,-31011
1,10,2,18,4434771,4434771,2,2198656,2202176,1,4404366,-30405,-30405,-30405
1,10,4,16,4417027,4417027,2,2189784,2193608,1,4387231,-29796,-29796,-29796
1,10,6,14,4420243,4428435,2,2191392,2199576,0,4399170,-21073,-29265,-29264
1,10,8,12,4419459,4419459,2,2194120,2201816,1,4403647,-15812,-15812,-15812
1,10,10,10,4420179,4420179,2,2194480,2202176,1,4404366,-15813,-15813,-15813
1,10,12,8,4419459,4419459,2,2194120,2201816,1,4403647,-15812,-15812,-15812
1,10,14,6,4420243,4428435,2,2191392,2199576,0,4399170,-21073,-29265,-29264
1,10,16,4,4417027,4417027,2,2189784,2193608,1,4387231,-29796,-29796,-29796
1,10,18,2,4434771,4434771,2,2198656,2202176,1,4404366,-30405,-30405,-30405
1,10,20,0,4276995,4276995,2,2122888,2122984,1,4245984,-31011,-31011,-31011
1,12,0,18,4277187,4277187,2,2116040,2123688,1,4247391,-29796,-29796,-29796
1,12,2,16,4434243,4434243,2,2194568,2202216,1,4404447,-29796,-29796,-29796
1,12,4,14,4416483,4424675,2,2185688,2197696,0,4395407,-21076,-29268,-29268
1,12,6,12,4420259,4420259,2,2187576,2195488,1,4390994,-29265,-29265,-29265
1,12,8,10,4419459,4419459,2,2194120,2201816,1,4403647,-15812,-15812,-15812
1,12,10,8,4419459,4419459,2,2194120,2201816,1,4403647,-15812,-15812,-15812
1,12,12,6,4420259,4420259,2,2187576,2195488,1,4390994,-29265,-29265,-29265
