# MathCheck2 K10 one-factorizations, decoded and validated
# format: case<TAB>five_edges;...;five_edges
97	01,23,45,67,89;02,16,35,49,78;03,15,28,46,79;04,18,27,36,59;05,17,24,38,69;06,12,39,47,58;07,13,29,48,56;08,19,26,34,57;09,14,25,37,68
98	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,17,28,36,59;05,19,26,38,47;06,12,37,49,58;07,13,29,48,56;08,16,24,39,57;09,18,27,35,46
99	01,23,45,67,89;02,14,36,58,79;03,12,47,59,68;04,13,29,56,78;05,18,27,34,69;06,17,28,35,49;07,15,26,39,48;08,19,25,37,46;09,16,24,38,57
100	01,23,45,67,89;02,16,35,48,79;03,14,26,59,78;04,17,29,36,58;05,18,27,34,69;06,13,28,49,57;07,15,24,39,68;08,19,25,37,46;09,12,38,47,56
101	01,23,45,67,89;02,17,39,46,58;03,12,49,56,78;04,18,27,35,69;05,13,26,48,79;06,14,28,37,59;07,15,29,34,68;08,19,25,36,47;09,16,24,38,57
102	01,23,45,67,89;02,17,35,48,69;03,16,24,58,79;04,13,29,56,78;05,12,39,47,68;06,18,27,34,59;07,15,28,36,49;08,19,25,37,46;09,14,26,38,57
103	01,23,45,67,89;02,16,38,49,57;03,19,24,56,78;04,12,37,59,68;05,13,26,48,79;06,17,29,34,58;07,18,25,39,46;08,14,27,35,69;09,15,28,36,47
104	01,23,45,67,89;02,14,37,58,69;03,12,46,59,78;04,17,29,35,68;05,18,24,36,79;06,13,28,49,57;07,15,26,39,48;08,19,27,34,56;09,16,25,38,47
105	01,23,45,67,89;02,16,35,49,78;03,14,28,56,79;04,18,27,36,59;05,17,29,38,46;06,12,39,47,58;07,13,25,48,69;08,19,26,34,57;09,15,24,37,68
106	01,23,45,67,89;02,15,37,49,68;03,14,25,69,78;04,18,27,36,59;05,16,28,39,47;06,12,35,48,79;07,13,29,46,58;08,19,26,34,57;09,17,24,38,56
107	01,23,45,67,89;02,14,38,57,69;03,16,25,49,78;04,17,28,36,59;05,18,29,37,46;06,12,35,48,79;07,15,24,39,68;08,19,27,34,56;09,13,26,47,58
108	01,23,45,67,89;02,14,35,68,79;03,15,24,69,78;04,18,26,37,59;05,16,27,38,49;06,12,39,47,58;07,19,28,34,56;08,13,29,46,57;09,17,25,36,48
109	01,23,45,67,89;02,14,36,58,79;03,17,24,59,68;04,18,29,37,56;05,12,34,69,78;06,13,28,49,57;07,15,26,39,48;08,19,27,35,46;09,16,25,38,47
110	01,23,45,67,89;02,15,38,47,69;03,16,25,49,78;04,18,27,36,59;05,17,24,39,68;06,12,35,48,79;07,13,29,46,58;08,19,26,34,57;09,14,28,37,56
111	01,23,45,67,89;02,13,47,59,68;03,16,25,49,78;04,17,26,39,58;05,18,24,37,69;06,14,28,35,79;07,15,29,36,48;08,19,27,34,56;09,12,38,46,57
112	01,23,45,67,89;02,15,39,47,68;03,16,24,58,79;04,18,27,36,59;05,17,29,38,46;06,12,35,49,78;07,13,25,48,69;08,19,26,34,57;09,14,28,37,56
113	01,23,45,67,89;02,13,46,58,79;03,12,49,56,78;04,18,27,35,69;05,17,29,34,68;06,14,28,37,59;07,15,26,39,48;08,19,25,36,47;09,16,24,38,57
114	01,23,45,67,89;02,18,39,46,57;03,15,24,69,78;04,12,36,58,79;05,16,29,37,48;06,17,28,35,49;07,14,26,38,59;08,19,27,34,56;09,13,25,47,68
115	01,23,45,67,89;02,16,39,47,58;03,15,24,69,78;04,18,27,36,59;05,17,29,38,46;06,12,35,48,79;07,13,28,49,56;08,19,26,34,57;09,14,25,37,68
116	01,23,45,67,89;02,14,37,58,69;03,12,46,59,78;04,13,29,57,68;05,18,24,36,79;06,17,28,35,49;07,15,26,39,48;08,19,27,34,56;09,16,25,38,47
117	01,23,45,67,89;02,14,39,57,68;03,16,24,59,78;04,12,36,58,79;05,18,29,37,46;06,17,28,35,49;07,13,25,48,69;08,19,27,34,56;09,15,26,38,47
118	01,23,45,67,89;02,15,38,46,79;03,14,25,69,78;04,18,27,36,59;05,13,29,47,68;06,17,28,35,49;07,12,39,48,56;08,19,26,34,57;09,16,24,37,58
119	01,23,45,67,89;02,13,46,58,79;03,18,24,57,69;04,16,29,35,78;05,12,37,49,68;06,17,28,34,59;07,15,26,39,48;08,19,25,36,47;09,14,27,38,56
120	01,23,45,67,89;02,17,38,46,59;03,19,28,47,56;04,12,36,58,79;05,14,26,39,78;06,18,29,34,57;07,13,25,48,69;08,16,27,35,49;09,15,24,37,68
121	01,23,45,67,89;02,16,34,58,79;03,14,25,69,78;04,18,29,36,57;05,12,37,49,68;06,13,28,47,59;07,15,26,39,48;08,19,27,35,46;09,17,24,38,56
122	01,23,45,67,89;02,15,39,47,68;03,17,29,46,58;04,18,27,36,59;05,16,24,38,79;06,12,35,49,78;07,13,25,48,69;08,19,26,34,57;09,14,28,37,56
123	01,23,45,67,89;02,17,34,58,69;03,16,27,48,59;04,13,29,56,78;05,18,26,37,49;06,14,28,35,79;07,15,24,39,68;08,19,25,36,47;09,12,38,46,57
124	01,23,45,67,89;02,15,38,47,69;03,16,25,48,79;04,18,27,36,59;05,17,24,39,68;06,12,35,49,78;07,13,29,46,58;08,19,26,34,57;09,14,28,37,56
125	01,23,45,67,89;02,13,47,58,69;03,14,28,56,79;04,12,36,59,78;05,19,26,37,48;06,18,29,34,57;07,15,24,39,68;08,16,27,35,49;09,17,25,38,46
126	01,23,45,67,89;02,18,36,49,57;03,17,28,46,59;04,15,26,39,78;05,12,38,47,69;06,13,24,58,79;07,14,29,35,68;08,19,27,34,56;09,16,25,37,48
127	01,23,45,67,89;02,14,35,68,79;03,15,24,69,78;04,16,28,37,59;05,18,27,36,49;06,12,39,47,58;07,13,29,48,56;08,19,26,34,57;09,17,25,38,46
128	01,23,45,67,89;02,15,36,49,78;03,12,48,56,79;04,18,26,39,57;05,13,29,47,68;06,19,24,37,58;07,14,28,35,69;08,16,27,34,59;09,17,25,38,46
129	01,23,45,67,89;02,14,37,58,69;03,12,46,59,78;04,18,25,36,79;05,13,29,47,68;06,17,28,35,49;07,15,26,39,48;08,19,27,34,56;09,16,24,38,57
130	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,18,26,37,59;05,16,29,38,47;06,13,27,49,58;07,12,39,48,56;08,19,24,36,57;09,17,28,35,46
131	01,23,45,67,89;02,17,34,58,69;03,14,25,68,79;04,13,29,56,78;05,18,27,39,46;06,12,37,48,59;07,15,28,36,49;08,19,26,35,47;09,16,24,38,57
132	01,23,45,67,89;02,18,35,47,69;03,12,49,56,78;04,16,27,39,58;05,13,24,68,79;06,17,28,34,59;07,15,29,36,48;08,19,25,37,46;09,14,26,38,57
133	01,23,45,67,89;02,18,37,49,56;03,12,46,59,78;04,13,27,58,69;05,17,29,34,68;06,14,28,35,79;07,15,26,39,48;08,19,25,36,47;09,16,24,38,57
134	01,23,45,67,89;02,13,46,58,79;03,17,26,48,59;04,16,29,35,78;05,12,37,49,68;06,18,25,39,47;07,15,28,34,69;08,19,24,36,57;09,14,27,38,56
135	01,23,45,67,89;02,13,47,59,68;03,16,25,49,78;04,17,29,36,58;05,14,28,37,69;06,18,24,35,79;07,15,26,39,48;08,19,27,34,56;09,12,38,46,57
136	01,23,45,67,89;02,14,37,58,69;03,16,24,59,78;04,18,25,36,79;05,13,29,47,68;06,17,28,35,49;07,15,26,39,48;08,19,27,34,56;09,12,38,46,57
137	01,23,45,67,89;02,15,34,68,79;03,14,25,69,78;04,18,26,37,59;05,16,27,38,49;06,12,39,47,58;07,13,29,48,56;08,19,24,36,57;09,17,28,35,46
138	01,23,45,67,89;02,17,39,48,56;03,15,24,69,78;04,12,36,58,79;05,14,29,37,68;06,18,27,35,49;07,13,28,46,59;08,19,26,34,57;09,16,25,38,47
139	01,23,45,67,89;02,17,34,58,69;03,14,26,59,78;04,18,29,37,56;05,12,36,48,79;06,13,28,49,57;07,15,24,39,68;08,19,27,35,46;09,16,25,38,47
140	01,23,45,67,89;02,17,39,46,58;03,18,24,56,79;04,16,29,35,78;05,12,37,49,68;06,13,27,48,59;07,15,28,34,69;08,19,25,36,47;09,14,26,38,57
141	01,23,45,67,89;02,15,39,47,68;03,14,25,69,78;04,18,27,36,59;05,16,28,37,49;06,12,35,48,79;07,13,29,46,58;08,19,26,34,57;09,17,24,38,56
142	01,23,45,67,89;02,17,38,49,56;03,14,25,69,78;04,18,27,36,59;05,16,28,39,47;06,12,35,48,79;07,13,29,46,58;08,19,26,34,57;09,15,24,37,68
143	01,23,45,67,89;02,17,38,49,56;03,14,25,69,78;04,18,27,36,59;05,13,29,47,68;06,12,35,48,79;07,15,28,39,46;08,19,26,34,57;09,16,24,37,58
144	01,23,45,67,89;02,13,47,59,68;03,15,24,69,78;04,12,36,58,79;05,16,29,37,48;06,17,28,35,49;07,18,25,39,46;08,19,27,34,56;09,14,26,38,57
145	01,23,45,67,89;02,15,36,49,78;03,14,28,56,79;04,18,25,37,69;05,13,29,47,68;06,17,24,39,58;07,19,26,35,48;08,16,27,34,59;09,12,38,46,57
146	01,23,45,67,89;02,13,47,59,68;03,16,25,49,78;04,12,37,58,69;05,17,28,39,46;06,18,24,35,79;07,15,29,36,48;08,19,27,34,56;09,14,26,38,57
147	01,23,45,67,89;02,17,34,58,69;03,16,28,47,59;04,13,29,56,78;05,12,36,48,79;06,18,27,35,49;07,15,24,39,68;08,19,25,37,46;09,14,26,38,57
148	01,23,45,67,89;02,17,36,49,58;03,19,24,56,78;04,12,37,59,68;05,13,28,46,79;06,18,29,34,57;07,16,25,39,48;08,14,27,35,69;09,15,26,38,47
149	01,23,45,67,89;02,14,35,68,79;03,12,46,59,78;04,17,29,36,58;05,18,27,34,69;06,13,28,49,57;07,15,26,39,48;08,19,24,37,56;09,16,25,38,47
150	01,23,45,67,89;02,13,47,58,69;03,16,24,59,78;04,15,28,36,79;05,17,29,38,46;06,18,27,35,49;07,12,39,48,56;08,19,26,34,57;09,14,25,37,68
